Word,Total,monthValue
brazilian,162,12:4:15:13:6:3:4:5:6:1:3:2:1:1:3::::1:8:2:1:1:3:1::1::3:1:1::1:1:2:1::::1::::3:2:2::1::2:1:1:3::3:9:2:2:1:2:2:1:1::1::1:1:1::::::1::::1:1:1:2::::::::::::1:2:::::::::::::::1:1::::::::::::::1
irish,151,2:1:1:3:4:5:3:9:6:2:4:6::::4::1:1:5:2:3::1:1:1:1:1:1::2:3:1::1:3:1:1::3:6:3:1:2:::::1:3:::2::2:1:2:2:2:3:2:2:5::1:3:2:5::::::::2:::2::1::::1:::1:2:::::1::::::::::1::3:::1::::::1::::1::1
olympic,149,:::1:1:3:::3:1::1:::1:2:1::::1:1:2::1:2::1:::1:1:2:2:4::1:3::3:2:6:2::7:8::::1::3::::::2:::1:2::2::2::::2::1:::::::::3::::::1::5:1:3:6:2:20:15:::3:1::1::::1::::2::::2::::1::::::1::1
african,148,:1:1:2:3:8:2:5:4::1::4:2::1::1:1:6:3::3::2:1::1:1:1:1:1:3::1:3:1:3:4::1:2:1:6:1:2::2::5:2::5:2::2:3:1::4:4::5:1:3::2:1:1:2:1::1::::1:1::1:1:2::::2::::1:1::1::2:::1:::1::::1:::::::::::::::::::1
western,142,3::1:1:1:1:1:4:2:2::3:1::5:4:3:1:4:1:1:2:4:1:::1:1:2:2:3:2:2:1:1:3:1:::7:4:2::2:1:2:1:::4:1:1:1:2:2:2:2:1:1:4:4::4::2:3::1:1:2::1::2::1:1:2::1::1::1::::1:::1::::::::1:1::1:::::3:::::::::::1:::::::1
muslim,142,1:1::1::1:7:1:4:4:2:5:4:3:6:3:1:1:1:1::4:8:6:6:4:2:3:3:1:5:6:1:1:2:2:5:1:1:2:::::::3:::1::::::1::1:3:1:2:3:2::1:1::::1:1:::1::::2:2::1:1::::::1::::::::1:::::::::::::::::::1::::::::1
turkish,137,:::1::2:1:::2:1::1:1:5:2:1:3:3:1::2:3:1:5:2:4:2:3:7:5:4:1:2:1:5:1:3:2:5:::::2:3:1:::1:1:2::1:::::1:3::2:1:2:2::3:6:1:1:::1:::1:1::::1:::2:::::2:1:1:2::1:1::1:1:1:1:::1:::::::::::::1::::::1:1
greek,135,1:::1:3:3:3:1::1::3::3:1:1:4:3:6:5::3:2:1:2:2:2:1:4:3::2::2:2:1:1::3:2:2:2::2:::1::3:4::2:::3::1:2:1:3::2:2:2:2:2:6:1:1:2::1:1:::1::::2:1:::1::1:2:1:::1:1:::1:::::::::::::::::::::1:::1::::1
palestinians,134,1:1:3:3::2:3::1:5::2::1:1:1:3:2:1:3:3::::6:::3:::2:1:::1::2:1:10:1:4:1::1:1:2:::1:2:11:5:1::2:1:1:1::4:5:2:1::1::2:2:::::::::::1:::1::::1:1:::1:::::::1::1:::::::::::1:1:1:::1::4:2:1:1::1
dutch,132,:3:2:2:3:5:2:2:5:1:1:2:1:1:2:2:1:1:2:2::2:4:1:3:1:1::4:::3:3:3:2:3:2:1::7:2:::1::1::1:1:2:2:3:2:2:1:1:::2:1::2:1:1:::3:1::1::1:1::::2:3::1:::::1:::::1::1::2:1::::1:::::::2::::::::::3::::1
democrat,132,::2:2:2:2:2:1:4:1:2:3:2:::1:3:2:3:1:2:1:::2:2::3:::1:3:::::3:2:2:8:3:2:1:1::1:1:1:1:1:2::3:1::1::1:3:3:1:2:2:1:1:1:5:1:1:1:1::1:::::::1:3:1::1:2:1:1:2:2:2:1:1::::1:::1::::1:1::1::::::1:1:::::::::1
world war ii,119,2:1:::1:3:6:1:4:2::2:2:2:1::1::1:1:::1::::1:1:2:1:3:4:1::2:4:1::2:1:4:2:4:1::1::1:3::::2:1:1:1:1::1::1:1:1:1::2::3::2:::::1::2:2:2:3:::::1:::::3:::::2:1:::::::1:::::3::1::1:1:1::3::::1:::1:1
canadians,116,1:::1:1:::5:1:2::::2:::4::::5:5:6:3:9:4:4:5:3:1:2:1:1:1:4:2:2:3::1:2:::1:2:1:2:1::3::1:6:2::::::1::2:1:1:::::1:::::::::::::::::::::1::::1:5:::2:::::::::::::1
