Word,Total,monthValue
thailand,189,2:1::1:2:2:1::1::4:3:6:2:6:5:7:6:3:1:1:6:4:4:1:1:1:1:1:1:5:22:2:1:5:1:3:1:1:3:2::5:1:2::1:6:9:3:4::3:2::2:1:1:2::2:1:1:1:1:5:2:::2::::1::1::::::1::1::::::1::::1:::::::::::1::::2:2::::::1
new york city,186,:2::4::3:1:2:1:1:3:1::1:1::2:2::1::2:6:1:1:2:2:1:1:1:2:1:3:3:4:4:6:4:4:7:5:4:2:2:4:1:3:2:2:2:2:2:5:1:2:1::1:3:3:1:2:4:5:2::1:1:3:2:3::1::2:1:2:1:2:2::4:::1::1:2:2:1:::::2:1:2:1:::1:::::2:::1:::1:::::1::::1
earth,185,::5:4:3:4:5:2:2:2:1::2::5::3:3:1:1:3:5:1:2:1:2:4:2:3:5:3:5:3:1:5:2:2:1:2:8:6:2:3:1:1:2:3:3:1:1:1:3:1:3::1:1:1:1:4:2:1:1:::2:2:1:1:2:1:2:::::3:2:1:2:3:::::1:2::::1:::1::1:1::::1::::::1:::::2:3:1::::1::::1
egypt,182,1:1:2:1:5:4:1:3:7:2:1::2::1:5:1:4::2:2:1:3:3:1::2:3::1:3:::1::2:1:1:6:3:1:1:1:1:4:2:::1:3:5:3:2:2:3:1:::::7:1:::::2:1:1:1:1::1::2:6:4:3:2:::1::1::1::4:2:2::2:1:1:1:2:4:1::::::1:2:2:1::::1::1:::2:2:2:2:2::1:1:1
ireland,176,2:1:1:4:7:8:3:7:4:2:3:5:1:2:2:3:::5:4:2:3:1:3:3::2::3:1:4:2::1:2:1::2:3:1:5:3::5::2:2::1:2:2:1:2:1:1:2:3:4:2:2:2:1:5::1:2:4:3:::2::1:1::1:1:1:4::1::::1:1::::::1:::1:::::::::::::3:::::1
paris,172,::2:2:1:4:3:2:5:6:2::4:2:4:4:4:2:1:1:1:3:::2::2:2::5:2:1:2:1:2:2:7:1:1:2:1:4:3:1:6:1::::1:1:1:1::5:12:1:1:4:2:3::1:2:1::3::1:5::2:::::2:3:3::1:1::::1::1::1:::1::::::::1:1::1:1::::::::::::1::::::3:2
scotland,169,::1:1:1:2:2:1:2:1:::1::1:1::4::2:2:3::4::1:3:2:2::2:4:1:3:1:2:1:2::2:2::4:2:2:1:1::1:1:3:3::1:1:2::5:3:1:6:2:4:1::1:2:2::1:2::2:1:1::4::4:1:1:3:::2::1:2:2::1:::1::1:1:::1:3:1::3::2:::2:1:1:4:2:2:1:1::1:1::1:1:1:1:2
beijing,163,1:2:9:2:8:8:1::2::2::1::1:2:1:1:::1:2:1:3:2:::2:::1:4::1:1:4:2:1:1:1:3:5:3::8:9:1:1::1:4:2::::2:1:1::2:3:2:3:1:::::1:1:::1:1:::1:2::2:3:1:::::1::1:1:1:::4:9:::1:2::::1:::1:2::::1::1:::1:1::::::1::1
poland,163,:1:3:2:3:5:4:1::1:6:2:2:3:3::3:2:3:6:1:3:2:4:2::3:1:2:1:1:3:7:2:2:1:1:1:3:1:1:1:6:5:5:5::1:3:2::1::2::2::::2:2:1::2::3:2:2::2:1::::::1:1:1:::::::::2:1:1:::2:1:2:::::1:1:::::::3:::::2:::2
massachusetts,160,::::3:3:1:::1:3:2:1:1:3:2::2:4:3:2:2:::5::2:3:1:1:1:1::1:3:2:2:2:2:5:3:4:5:2::2:2:1:6:1:1:::1::1:1:4:1:2:1:2:4:::2::1::1:1:1::1:::1::1:3:3:2::1:1:4:2:1:3:2:4:3:1:2:1:1:1:1::1::1:::::1::::::1::::1:::::1:1
